employee_program_id,employee_id,program_id,enrollment_date,completion_date,participation_status,completion_score
EP000069,E00005,P035,2024-06-22,2024-07-16,Completed,74.95
EP000070,E04003,P032,2025-05-01,,Withdrawn,
EP000071,E02350,P012,2025-06-21,,Enrolled,
EP000072,E03694,P029,2026-02-25,2026-02-25,Completed,85.43
EP000073,E01666,P005,2025-05-28,2025-07-19,Completed,83.99
EP000074,E00907,P013,2025-07-01,2025-07-31,Completed,100.0
EP000075,E03621,P012,2025-06-18,,Enrolled,
EP000076,E01735,P009,2024-12-27,,Enrolled,
EP000077,E03059,P020,2025-10-10,2025-12-27,Completed,83.72
EP000078,E01288,P025,2024-10-30,2024-12-03,Completed,92.57
EP000079,E04787,P023,2025-09-07,2025-09-10,Completed,69.02
EP000080,E02084,P006,2025-04-19,,Enrolled,
EP000081,E00618,P031,2026-07-25,,In Progress,
EP000082,E02801,P015,2025-04-26,2025-06-12,Completed,100.0
EP000083,E00976,P034,2025-03-15,2025-04-01,Completed,83.44
EP000084,E01952,P024,2025-03-08,2025-03-24,Completed,75.52
EP000085,E00356,P026,2026-08-16,2026-09-17,Completed,77.83
EP000086,E01896,P040,2025-01-15,,Enrolled,
EP000087,E02643,P006,2025-04-27,2025-05-15,Completed,84.71
EP000088,E04330,P011,2024-12-29,2025-02-21,Completed,84.38
EP000089,E01508,P039,2026-05-27,2026-05-30,Completed,100.0
EP000090,E01771,P028,2024-09-14,2024-09-19,Completed,94.25
EP000091,E02814,P031,2026-06-18,,In Progress,
EP000092,E03722,P023,2025-05-26,,Enrolled,
EP000093,E01660,P023,2025-07-05,,Enrolled,
EP000094,E03418,P002,2024-08-11,2024-09-09,Completed,78.23
EP000095,E04698,P040,2024-10-30,,Enrolled,
EP000096,E01907,P012,2025-07-03,2025-07-04,Completed,75.19
EP000097,E03765,P028,2024-08-01,,Enrolled,
EP000098,E01266,P034,2025-09-16,,Enrolled,
EP000099,E01710,P010,2024-07-28,2024-08-01,Completed,71.55
EP000100,E03088,P022,2025-01-05,2025-01-16,Completed,72.59
EP000101,E00610,P016,2024-11-22,2024-12-15,Completed,78.52
EP000102,E04912,P030,2026-06-15,2026-06-27,Completed,66.86
EP000103,E03586,P022,2024-12-21,,Withdrawn,
EP000104,E04619,P023,2025-07-15,,Enrolled,
EP000105,E04943,P029,2026-05-06,2026-05-26,Completed,74.55
EP000106,E00949,P008,2024-07-16,,Enrolled,
EP000107,E01607,P016,2024-10-12,2024-10-30,Completed,85.32
EP000108,E04242,P038,2025-06-22,,Enrolled,
EP000109,E01474,P008,2024-07-18,2024-10-26,Completed,80.98
EP000110,E04609,P005,2025-07-29,2025-08-03,Completed,87.62
EP000111,E03782,P029,2025-12-31,2026-06-01,Completed,100.0
EP000112,E02404,P033,2025-02-10,2025-03-27,Completed,82.95
EP000113,E02837,P022,2024-11-30,2024-12-20,Completed,89.01
EP000114,E02611,P032,2025-05-13,2025-05-16,Completed,68.37
EP000115,E01078,P036,2025-01-06,,Enrolled,
EP000116,E02239,P028,2024-06-05,2024-08-10,Completed,90.97
EP000117,E04127,P029,2026-01-21,2026-03-26,Completed,88.77
EP000118,E03822,P011,2024-10-14,2025-03-06,Completed,81.36
EP000119,E01966,P022,2024-12-28,2025-01-14,Completed,89.02
EP000120,E03756,P018,2026-07-22,,Enrolled,
EP000121,E00734,P034,2025-06-27,2025-07-28,Completed,80.34
EP000122,E01312,P035,2024-06-18,,Enrolled,
EP000123,E03551,P034,2025-05-10,,Enrolled,
EP000124,E03964,P007,2024-10-18,,Enrolled,
EP000125,E03533,P014,2026-10-27,,In Progress,
EP000126,E01191,P006,2025-05-30,,Withdrawn,
EP000127,E03010,P038,2025-05-06,2025-06-08,Completed,82.85
EP000128,E02743,P037,2026-05-23,,Enrolled,
EP000129,E03123,P038,2025-06-13,,Enrolled,
EP000130,E00089,P010,2024-08-19,2024-08-22,Completed,92.7
EP000131,E00829,P040,2024-11-07,2025-02-14,Completed,68.54
EP000132,E02927,P024,2025-03-06,2025-03-14,Completed,86.83
EP000133,E00987,P021,2025-02-02,,Enrolled,
EP000134,E01135,P032,2024-12-24,2025-02-04,Completed,84.63
EP000135,E01411,P028,2024-09-09,2024-09-10,Completed,85.44
EP000136,E01888,P029,2026-05-19,2026-05-22,Completed,84.86
EP000137,E01376,P030,2026-08-11,,Withdrawn,
EP000138,E01204,P031,2026-08-08,,In Progress,
EP000139,E03055,P034,2025-07-24,2025-07-29,Completed,73.88
EP000140,E02704,P036,2025-02-04,2025-02-05,Completed,82.29
EP000141,E02470,P025,2024-11-21,2024-11-25,Completed,77.13
EP000142,E04760,P031,2026-07-31,2026-08-05,Completed,91.44
EP000143,E03057,P037,2026-05-31,2026-06-06,Completed,85.08
EP000144,E04573,P016,2024-08-11,,Withdrawn,
EP000145,E02900,P020,2026-01-14,,Withdrawn,
EP000146,E00424,P025,2024-07-07,2024-10-07,Completed,100.0
EP000147,E00060,P030,2026-07-09,,In Progress,
EP000148,E03209,P006,2025-07-25,,Enrolled,
EP000149,E00178,P035,2024-09-21,2024-09-22,Completed,76.53
EP000150,E00619,P029,2026-02-05,,Enrolled,
EP000151,E02398,P030,2026-08-18,2026-08-19,Completed,82.39
EP000152,E00201,P023,2025-05-24,2025-08-16,Completed,65.69
EP000153,E00653,P023,2025-06-15,,Enrolled,
EP000154,E01532,P020,2025-12-23,,Enrolled,
EP000155,E02043,P019,2026-04-10,2026-05-02,Completed,87.61
EP000156,E03970,P010,2024-08-25,2024-08-27,Completed,67.11
EP000157,E01440,P032,2025-02-21,2025-04-26,Completed,86.59
EP000158,E01608,P032,2025-04-16,2025-05-03,Completed,77.89
EP000159,E03951,P022,2025-01-03,,Enrolled,
EP000160,E03842,P014,2026-12-18,2026-12-23,Completed,79.7
EP000161,E00188,P017,2024-03-19,2024-06-27,Completed,86.79
EP000162,E01049,P007,2024-08-27,,Enrolled,
EP000163,E00302,P012,2025-04-28,,Enrolled,
EP000164,E02518,P003,2025-11-18,,Enrolled,
EP000165,E04848,P015,2025-05-28,,Enrolled,
EP000166,E03333,P030,2026-08-16,2026-08-17,Completed,90.01
EP000167,E02053,P039,2026-03-14,2026-04-21,Completed,77.25
EP000168,E00253,P030,2026-06-17,2026-06-23,Completed,78.36
EP000169,E01129,P040,2024-10-07,2025-01-04,Completed,81.98
EP000170,E04808,P007,2024-08-26,2024-08-30,Completed,100.0
EP000171,E01996,P036,2024-12-10,2025-01-24,Completed,78.19
EP000172,E00079,P004,2026-02-01,2026-02-14,Completed,89.43
EP000173,E03918,P014,2026-10-03,,Withdrawn,
EP000174,E04711,P035,2024-07-23,,Enrolled,
EP000175,E01116,P018,2026-04-16,2026-07-04,Completed,82.28
EP000176,E01446,P004,2025-10-01,,Enrolled,
EP000177,E01675,P023,2025-07-19,,Enrolled,
EP000178,E04050,P007,2024-10-07,2024-10-12,Completed,91.82
EP000179,E00075,P040,2024-11-23,,Enrolled,
EP000180,E01738,P014,2026-12-20,,Withdrawn,
EP000181,E00639,P004,2026-02-15,2026-02-20,Completed,79.55
EP000182,E04045,P006,2025-07-11,2025-07-24,Completed,100.0
EP000183,E01042,P003,2025-11-22,,Enrolled,
EP000184,E00512,P010,2024-07-08,2024-08-02,Completed,99.57
EP000185,E00163,P017,2024-05-27,,Enrolled,
EP000186,E00372,P030,2026-06-29,2026-07-27,Completed,94.58
EP000187,E03493,P022,2025-01-07,,Enrolled,
EP000188,E00743,P016,2024-10-02,2024-11-30,Completed,84.62
EP000189,E04913,P018,2026-06-29,,Enrolled,
EP000190,E01274,P033,2025-04-01,2025-04-05,Completed,93.67
EP000191,E03843,P029,2026-04-07,2026-05-09,Completed,90.91
EP000192,E02552,P032,2025-04-28,2025-05-15,Completed,71.04
EP000193,E01381,P012,2025-06-09,,Enrolled,
EP000194,E01087,P023,2025-05-05,,Enrolled,
EP000195,E03434,P024,2025-02-06,2025-03-06,Completed,81.65
EP000196,E02052,P028,2024-06-15,2024-06-30,Completed,95.2
EP000197,E01019,P030,2026-06-18,,In Progress,
EP000198,E03987,P022,2025-01-05,,Enrolled,
EP000199,E04644,P027,2025-01-02,2025-01-28,Completed,80.75
EP000200,E02858,P031,2026-08-15,,Withdrawn,
EP000201,E04970,P011,2024-12-23,,Enrolled,
EP000202,E01121,P036,2024-12-21,2025-01-14,Completed,93.36
EP000203,E01407,P036,2025-01-31,,Enrolled,
EP000204,E03678,P035,2024-07-26,2024-09-11,Completed,89.42
EP000205,E01849,P016,2024-10-14,,Enrolled,
EP000206,E04343,P032,2024-12-16,,Withdrawn,
EP000207,E03428,P039,2026-05-14,2026-05-23,Completed,96.5
EP000208,E00051,P026,2026-09-12,2026-09-20,Completed,83.1
EP000209,E04948,P036,2024-11-28,,Enrolled,
EP000210,E01386,P024,2025-04-24,2025-04-25,Completed,80.84
EP000211,E02707,P016,2024-10-06,,Enrolled,
EP000212,E01158,P019,2026-03-12,2026-04-09,Completed,79.17
EP000213,E02276,P030,2026-08-05,,In Progress,
EP000214,E00837,P001,2026-01-26,2026-01-31,Completed,75.42
EP000215,E00145,P013,2025-06-14,2025-06-23,Completed,94.09
EP000216,E03519,P008,2024-09-06,,Enrolled,
EP000217,E01246,P028,2024-08-19,,Enrolled,
EP000218,E00271,P028,2024-08-09,2024-08-16,Completed,71.48
EP000219,E03828,P005,2025-06-17,,Enrolled,
EP000220,E01012,P036,2024-12-04,2025-01-13,Completed,88.51
EP000221,E04681,P014,2026-10-15,2026-11-22,Completed,84.75
EP000222,E01055,P002,2024-08-17,2024-10-14,Completed,83.94
EP000223,E03895,P003,2025-11-15,2025-11-28,Completed,83.86
EP000224,E00099,P025,2024-09-30,2024-12-06,Completed,83.9
EP000225,E02605,P040,2025-01-16,,Enrolled,
EP000226,E03443,P028,2024-08-13,,Withdrawn,
EP000227,E04333,P011,2025-02-11,2025-03-26,Completed,76.19
EP000228,E03433,P002,2024-07-27,,Enrolled,
EP000229,E02912,P039,2026-04-10,,Withdrawn,
EP000230,E04152,P038,2025-06-26,2025-06-27,Completed,78.72
EP000231,E02969,P020,2025-10-08,2025-11-04,Completed,88.73
EP000232,E01623,P040,2025-02-11,2025-02-14,Completed,76.63
EP000233,E03424,P029,2026-03-01,2026-05-17,Completed,89.76
EP000234,E00883,P003,2025-10-01,,Enrolled,
EP000235,E02739,P012,2025-06-18,2025-06-25,Completed,76.64
EP000236,E03380,P002,2024-11-23,2024-12-24,Completed,92.36
EP000237,E01485,P021,2025-03-24,,Enrolled,
EP000238,E04889,P038,2025-03-28,2025-03-30,Completed,88.02
EP000239,E02301,P038,2025-06-14,2025-06-21,Completed,91.65
EP000240,E00632,P005,2025-06-27,2025-08-05,Completed,75.67
EP000241,E04914,P030,2026-05-30,,In Progress,
EP000242,E04219,P036,2025-01-30,,Withdrawn,
EP000243,E01940,P036,2025-01-21,,Enrolled,
EP000244,E03770,P038,2025-05-13,,Enrolled,
EP000245,E00549,P038,2025-06-19,2025-06-22,Completed,73.2
EP000246,E02818,P026,2026-07-31,2026-10-13,Completed,91.49
EP000247,E02185,P040,2024-11-23,,Enrolled,
EP000248,E01218,P032,2024-12-21,2025-03-15,Completed,70.68
EP000249,E00277,P038,2025-04-16,2025-05-07,Completed,96.27
EP000250,E03689,P019,2026-01-06,2026-02-22,Completed,82.97
EP000251,E02372,P028,2024-06-11,2024-09-20,Completed,81.4
EP000252,E02042,P035,2024-06-19,,Withdrawn,
EP000253,E04033,P004,2025-09-19,2025-10-08,Completed,80.14
EP000254,E03363,P033,2025-03-21,,Enrolled,
EP000255,E04971,P019,2025-12-21,2026-05-21,Completed,85.38
EP000256,E00428,P034,2025-08-19,2025-08-23,Completed,76.46
EP000257,E00119,P012,2025-06-29,2025-07-01,Completed,94.14
EP000258,E03331,P038,2025-05-05,,Enrolled,
EP000259,E03184,P009,2024-11-10,2024-12-01,Completed,87.02
EP000260,E04194,P001,2026-01-17,2026-02-20,Completed,85.74
EP000261,E03912,P038,2025-05-19,2025-06-04,Completed,72.14
EP000262,E03008,P012,2025-05-24,,Enrolled,
EP000263,E00443,P010,2024-07-02,2024-08-02,Completed,78.35
EP000264,E04712,P008,2024-10-13,,Enrolled,
EP000265,E03389,P014,2026-11-21,2026-12-17,Completed,93.19
EP000266,E00142,P004,2025-09-11,2026-02-14,Completed,87.97
EP000267,E00028,P002,2024-11-26,,Enrolled,
EP000268,E04881,P017,2024-05-07,2024-05-28,Completed,82.61
EP000269,E03987,P025,2024-07-06,2024-08-29,Completed,94.59
EP000270,E00298,P015,2025-04-29,2025-05-23,Completed,94.32
EP000271,E02512,P031,2026-08-09,2026-08-17,Completed,81.69
EP000272,E03839,P016,2024-10-27,,Enrolled,
EP000273,E02482,P013,2025-07-21,2025-07-29,Completed,89.31
EP000274,E02248,P012,2025-06-26,,Enrolled,
EP000275,E03819,P029,2026-03-30,2026-04-08,Completed,83.86
EP000276,E04093,P021,2025-03-22,2025-03-26,Completed,70.63
EP000277,E02805,P014,2026-08-16,2026-10-14,Completed,86.36
EP000278,E00140,P040,2025-01-14,,Enrolled,
EP000279,E00678,P019,2026-05-04,2026-05-19,Completed,96.07
EP000280,E04033,P001,2025-12-03,2026-01-12,Completed,75.59
EP000281,E01682,P008,2024-11-02,,Enrolled,
EP000282,E03851,P024,2025-03-04,,Enrolled,
EP000283,E02584,P019,2026-01-22,,Withdrawn,
EP000284,E04545,P028,2024-04-22,,Enrolled,
EP000285,E00351,P038,2025-05-12,,Enrolled,
EP000286,E00899,P029,2026-05-15,,Enrolled,
EP000287,E03863,P010,2024-06-26,2024-07-20,Completed,85.9
EP000288,E00936,P015,2025-05-14,,Withdrawn,
EP000289,E01892,P039,2026-03-16,2026-03-30,Completed,86.23
EP000290,E01224,P002,2024-10-12,2024-12-08,Completed,90.31
EP000291,E03777,P007,2024-08-26,,Enrolled,
EP000292,E02959,P014,2026-11-08,,In Progress,
EP000293,E02216,P038,2025-04-25,,Enrolled,
EP000294,E00148,P010,2024-08-10,,Withdrawn,
EP000295,E02963,P003,2025-10-09,2025-10-15,Completed,97.47
EP000296,E04709,P015,2025-03-11,,Enrolled,
EP000297,E00038,P037,2026-07-23,,Enrolled,
EP000298,E02998,P021,2025-01-27,,Withdrawn,
EP000299,E00272,P002,2024-08-07,2024-10-27,Completed,74.76
EP000300,E03516,P013,2025-07-11,2025-08-04,Completed,82.63
EP000301,E02143,P013,2025-08-02,2025-08-03,Completed,79.39
EP000302,E00785,P014,2026-09-26,,In Progress,
EP000303,E04741,P006,2025-06-13,2025-06-29,Completed,76.08
EP000304,E02343,P024,2025-01-12,2025-02-04,Completed,82.54
EP000305,E02127,P021,2025-03-14,2025-03-22,Completed,79.16
EP000306,E01620,P036,2025-02-02,,Enrolled,
EP000307,E02351,P023,2025-05-26,,Enrolled,
EP000308,E03029,P003,2025-10-02,,Enrolled,
EP000309,E04134,P020,2025-10-20,2026-01-21,Completed,67.85
EP000310,E01268,P036,2024-12-27,,Enrolled,
EP000311,E03550,P010,2024-08-10,,Enrolled,
EP000312,E02222,P018,2026-04-23,,Withdrawn,
EP000313,E02034,P009,2024-12-31,2024-12-31,Completed,92.11
EP000314,E01548,P015,2025-05-25,,Enrolled,
EP000315,E00634,P023,2025-05-25,,Enrolled,
EP000316,E01777,P016,2024-07-23,,Enrolled,
EP000317,E00139,P018,2026-06-23,,Withdrawn,
EP000318,E02886,P013,2025-05-20,2025-05-23,Completed,82.39
EP000319,E02659,P035,2024-08-21,,Enrolled,
EP000320,E04965,P020,2025-10-22,,Withdrawn,
EP000321,E02222,P040,2024-09-16,,Enrolled,
EP000322,E04492,P034,2025-04-07,2025-09-01,Completed,86.51
EP000323,E01261,P035,2024-09-19,,Enrolled,
EP000324,E02434,P028,2024-09-18,2024-09-18,Completed,89.27
EP000325,E02739,P028,2024-04-19,2024-08-26,Completed,81.34
EP000326,E04598,P007,2024-08-10,,Enrolled,
EP000327,E01725,P013,2025-06-26,,Withdrawn,
EP000328,E03692,P005,2025-04-27,,Enrolled,
EP000329,E01591,P006,2025-05-18,2025-05-18,Completed,82.55
EP000330,E04788,P038,2025-06-28,2025-06-29,Completed,97.21
EP000331,E02344,P021,2025-01-16,,Enrolled,
EP000332,E02918,P018,2026-04-28,2026-05-29,Completed,82.77
EP000333,E01051,P032,2025-02-25,2025-03-25,Completed,100.0
EP000334,E02920,P008,2024-06-07,2024-11-11,Completed,85.78
EP000335,E02204,P009,2024-08-06,2024-11-09,Completed,75.35
EP000336,E02137,P021,2025-02-05,2025-02-05,Completed,76.94
EP000337,E04423,P019,2026-05-20,2026-05-20,Completed,84.05
EP000338,E02262,P006,2025-07-02,2025-07-20,Completed,76.19
EP000339,E01440,P022,2025-01-04,,Enrolled,
EP000340,E00264,P037,2026-05-14,2026-06-28,Completed,87.5
EP000341,E00271,P007,2024-09-12,,Enrolled,
EP000342,E04313,P005,2025-05-01,2025-08-09,Completed,85.09
EP000343,E00738,P033,2025-02-17,,Enrolled,
EP000344,E02549,P021,2025-01-21,2025-01-31,Completed,84.54
EP000345,E01140,P021,2025-01-13,2025-01-31,Completed,94.58
EP000346,E02074,P039,2026-05-06,2026-05-28,Completed,83.22
EP000347,E03860,P018,2026-06-29,,Enrolled,
EP000348,E01408,P024,2025-04-11,2025-04-14,Completed,83.72
EP000349,E03660,P037,2026-07-12,,Withdrawn,
EP000350,E02170,P001,2026-02-21,2026-02-22,Completed,90.36
EP000351,E00994,P029,2026-03-18,2026-05-04,Completed,92.93
EP000352,E01211,P034,2025-06-26,,Enrolled,
EP000353,E02930,P025,2024-11-15,2024-12-05,Completed,87.72
EP000354,E01010,P040,2024-12-18,,Enrolled,
EP000355,E00940,P007,2024-10-14,,Enrolled,
EP000356,E03216,P037,2026-05-28,,Enrolled,
EP000357,E01348,P024,2025-03-12,2025-03-17,Completed,94.83
EP000358,E01717,P004,2026-02-11,,Enrolled,
EP000359,E00017,P021,2025-02-03,2025-02-16,Completed,79.84
EP000360,E00746,P022,2024-12-27,,Enrolled,
EP000361,E02586,P018,2026-05-27,,Enrolled,
EP000362,E00552,P036,2024-12-16,2025-01-06,Completed,86.3
EP000363,E03139,P023,2025-08-06,2025-08-26,Completed,83.56
EP000364,E01057,P038,2025-05-01,,Enrolled,
EP000365,E04103,P017,2024-03-03,2024-04-14,Completed,97.24
EP000366,E04201,P038,2025-06-15,2025-06-21,Completed,82.79
EP000367,E01269,P013,2025-07-27,2025-07-30,Completed,88.24
EP000368,E00691,P035,2024-09-06,,Enrolled,
EP000369,E04232,P002,2024-08-13,,Enrolled,
EP000370,E02336,P016,2024-12-13,,Enrolled,
EP000371,E02347,P013,2025-07-11,,Enrolled,
EP000372,E02810,P009,2024-08-03,2024-08-07,Completed,77.74
EP000373,E03899,P019,2026-01-18,,Withdrawn,
EP000374,E03006,P023,2025-08-22,,Enrolled,
EP000375,E03668,P008,2024-08-18,2024-10-30,Completed,100.0
EP000376,E04084,P022,2024-11-19,2025-01-08,Completed,78.48
EP000377,E00255,P030,2026-08-02,2026-08-04,Completed,64.1
EP000378,E04047,P009,2024-09-19,2024-11-03,Completed,79.04
EP000379,E01875,P015,2025-06-10,2025-06-16,Completed,87.32
EP000380,E01005,P036,2025-01-10,2025-01-23,Completed,80.0
EP000381,E01644,P011,2025-01-24,2025-02-17,Completed,90.38
EP000382,E03278,P026,2026-08-03,2026-10-22,Completed,95.95
EP000383,E03590,P036,2024-12-04,2025-02-06,Completed,76.7
EP000384,E02522,P024,2025-04-14,2025-04-22,Completed,80.28
EP000385,E02155,P040,2025-01-27,2025-02-06,Completed,89.84
EP000386,E01253,P036,2024-12-23,,Withdrawn,
EP000387,E00087,P025,2024-09-22,2024-09-25,Completed,93.54
EP000388,E00544,P018,2026-05-08,,Enrolled,
EP000389,E03804,P009,2024-07-22,,Enrolled,
EP000390,E01185,P034,2025-04-03,2025-09-16,Completed,80.1
EP000391,E01895,P038,2025-06-20,,Withdrawn,
EP000392,E04085,P009,2024-09-11,2024-10-11,Completed,95.17
EP000393,E02819,P020,2025-10-22,,Enrolled,
EP000394,E01492,P012,2025-04-30,,Enrolled,
EP000395,E01538,P004,2026-02-04,2026-02-19,Completed,92.78
EP000396,E03948,P003,2025-11-10,2025-11-13,Completed,67.61
EP000397,E00332,P005,2025-04-16,2025-06-14,Completed,85.93
EP000398,E04537,P002,2024-08-28,2024-09-06,Completed,76.6
EP000399,E01701,P009,2024-10-04,,Enrolled,
EP000400,E03647,P028,2024-07-29,2024-08-12,Completed,80.8
EP000401,E01895,P012,2025-05-19,,Enrolled,
EP000402,E04586,P002,2024-09-10,2024-12-14,Completed,83.18
EP000403,E04376,P028,2024-07-29,2024-08-30,Completed,79.91
EP000404,E02594,P005,2025-05-24,2025-06-27,Completed,75.98
EP000405,E01290,P011,2024-09-13,,Withdrawn,
EP000406,E04608,P007,2024-09-12,,Enrolled,
EP000407,E00185,P039,2026-04-21,2026-05-29,Completed,85.18
EP000408,E02683,P019,2026-02-24,2026-04-12,Completed,80.62
EP000409,E04237,P026,2026-08-17,2026-09-12,Completed,79.91
EP000410,E02459,P037,2026-05-16,2026-07-11,Completed,67.79
EP000411,E00121,P006,2025-04-22,,Enrolled,
EP000412,E01664,P001,2025-11-22,2025-11-27,Completed,76.36
EP000413,E03462,P005,2025-06-12,,Withdrawn,
EP000414,E00321,P017,2024-04-22,,Enrolled,
EP000415,E00483,P026,2026-10-24,2026-10-24,Completed,86.15
EP000416,E01351,P021,2025-03-11,,Enrolled,
EP000417,E01195,P029,2026-01-22,,Withdrawn,
EP000418,E04281,P023,2025-08-03,2025-08-05,Completed,78.99
EP000419,E04320,P023,2025-07-26,2025-08-29,Completed,76.22
EP000420,E04595,P026,2026-10-20,,In Progress,
EP000421,E00605,P003,2025-12-06,2025-12-06,Completed,86.54
EP000422,E00354,P040,2024-09-25,,Enrolled,
EP000423,E00927,P015,2025-03-11,2025-03-23,Completed,85.59
EP000424,E02449,P036,2024-12-07,,Enrolled,
EP000425,E02390,P037,2026-07-27,,Enrolled,
EP000426,E00511,P031,2026-07-14,2026-08-23,Completed,88.08
EP000427,E04632,P017,2024-04-30,2024-05-15,Completed,92.78
EP000428,E00261,P008,2024-06-20,,Withdrawn,
EP000429,E04335,P034,2025-03-28,2025-06-23,Completed,85.37
EP000430,E01566,P030,2026-07-30,2026-08-17,Completed,71.56
EP000431,E00278,P018,2026-07-03,2026-07-06,Completed,77.12
EP000432,E00989,P037,2026-07-13,,Enrolled,
EP000433,E00052,P037,2026-06-20,2026-07-10,Completed,90.77
EP000434,E04531,P006,2025-07-02,,Enrolled,
EP000435,E02274,P036,2024-12-02,2025-01-14,Completed,69.27
EP000436,E02155,P014,2026-10-23,,In Progress,
EP000437,E00593,P008,2024-09-23,,Enrolled,
EP000438,E00311,P006,2025-08-06,2025-08-06,Completed,81.03
EP000439,E02362,P027,2025-01-14,,Enrolled,
EP000440,E03824,P015,2025-05-26,2025-05-28,Completed,74.3
EP000441,E03403,P023,2025-08-30,2025-09-10,Completed,74.01
EP000442,E00961,P039,2026-04-03,2026-04-19,Completed,79.9
EP000443,E01773,P025,2024-11-17,2024-11-18,Completed,92.54
EP000444,E04274,P027,2024-12-23,2025-02-04,Completed,68.57
EP000445,E00978,P036,2025-01-26,2025-02-06,Completed,85.77
EP000446,E00873,P040,2024-12-01,2025-02-01,Completed,96.8
EP000447,E04950,P036,2024-12-20,2024-12-28,Completed,88.3
