employee_id,hire_date,termination_date,employment_status,job_level,job_family,location,manager_id,organization_id
E00141,2024-06-11,2026-12-29,Terminated,L4,Operations,North America,E00797,ORG020
E00142,2018-11-14,,Active,L3,Finance,North America,E03443,ORG042
E00143,2026-10-22,,Active,L5,Data,North America,E00121,ORG020
E00144,2020-10-04,,Active,L5,Operations,North America,E01643,ORG006
E00145,2025-05-25,,Active,L2,Program Management,North America,E00914,ORG013
E00146,2024-01-02,,Active,L3,Marketing,Europe,E00230,ORG030
E00147,2023-05-05,,Active,L6,Finance,Europe,E00986,ORG008
E00148,2018-01-23,,Active,L2,Program Management,North America,E00535,ORG032
E00149,2019-05-23,,Active,L3,Finance,Europe,E00377,ORG022
E00150,2023-07-25,,Active,L4,Software Engineering,North America,E03323,ORG017
E00151,2020-05-02,,Active,L3,Operations,North America,E00591,ORG012
E00152,2019-01-06,,Active,L3,Product,Asia Pacific,E04688,ORG040
E00153,2026-01-25,,Leave,L4,Software Engineering,Asia Pacific,E02424,ORG020
E00154,2026-01-13,,Active,L3,Program Management,North America,E01998,ORG036
E00155,2023-09-20,2026-07-15,Terminated,L4,Finance,Asia Pacific,E04391,ORG022
E00156,2023-03-16,,Active,L5,Finance,Asia Pacific,E03890,ORG005
E00157,2023-02-16,,Active,L4,Marketing,Europe,E02055,ORG022
E00158,2023-10-03,,Active,L2,Product,Latin America,E04874,ORG025
E00159,2022-03-31,,Active,L5,HR,North America,E02697,ORG023
E00160,2024-05-11,,Active,L3,Operations,North America,E03564,ORG040
E00161,2024-12-27,,Active,L5,Sales,Asia Pacific,E04850,ORG045
E00162,2018-09-07,,Active,L3,Marketing,North America,E03650,ORG039
E00163,2021-10-19,,Active,L5,HR,North America,E02991,ORG029
E00164,2023-06-22,,Active,L3,Program Management,North America,E03124,ORG027
E00165,2019-11-05,,Active,L3,Operations,North America,E03267,ORG032
E00166,2020-08-27,,Active,L4,Finance,North America,E04899,ORG014
E00167,2023-05-04,,Active,L2,Sales,North America,E03507,ORG040
E00168,2024-07-29,,Active,L3,Product,Latin America,E01461,ORG042
E00169,2022-07-01,,Active,L5,Sales,North America,E00096,ORG013
E00170,2020-10-19,,Active,L5,Sales,Asia Pacific,E03910,ORG044
E00171,2021-04-10,,Active,L2,Data,North America,E02438,ORG042
E00172,2018-07-09,,Active,L6,Product,North America,E02020,ORG021
E00173,2024-08-08,,Active,L5,Product,Asia Pacific,E04675,ORG044
E00174,2019-07-05,,Active,L6,Finance,North America,E00755,ORG006
E00175,2021-10-12,,Active,L5,Software Engineering,North America,E00169,ORG002
E00176,2020-02-10,,Active,L5,Product,Asia Pacific,E03724,ORG017
E00177,2019-11-08,,Active,L4,Software Engineering,North America,E04613,ORG028
E00178,2021-06-29,,Active,L4,Data,North America,E04146,ORG018
E00179,2020-01-14,,Active,L6,Operations,Latin America,E04364,ORG046
E00180,2023-09-18,,Active,L2,Product,North America,E04332,ORG013
E00181,2026-01-04,,Active,L3,Operations,Europe,E03427,ORG014
E00182,2020-09-15,,Active,L2,Software Engineering,North America,E04595,ORG031
E00183,2023-04-04,,Active,L6,Product,North America,E01664,ORG001
E00184,2022-08-19,,Active,L4,Marketing,North America,E03749,ORG036
E00185,2019-03-08,,Active,L5,Sales,Europe,E00434,ORG019
E00186,2023-01-29,,Active,L5,Product,North America,E02689,ORG048
E00187,2024-04-12,,Active,L7,Software Engineering,Asia Pacific,,ORG034
E00188,2018-09-20,,Active,L3,Marketing,Asia Pacific,E01406,ORG003
E00189,2022-01-20,,Active,L5,HR,Europe,E04688,ORG005
E00190,2021-09-19,,Active,L6,Operations,North America,E02144,ORG005
E00191,2024-07-20,,Active,L2,HR,Europe,E00996,ORG047
E00192,2024-06-29,,Active,L5,Software Engineering,Asia Pacific,E02872,ORG034
E00193,2023-07-22,,Active,L3,Program Management,North America,E00365,ORG021
E00194,2026-06-27,,Active,L4,Program Management,Asia Pacific,E00598,ORG010
E00195,2018-06-13,,Active,L4,HR,North America,E02107,ORG043
E00196,2019-10-25,,Active,L3,Software Engineering,Latin America,E03170,ORG010
E00197,2024-03-09,,Active,L2,Operations,Latin America,E02947,ORG035
E00198,2023-01-02,,Active,L2,Sales,North America,E00239,ORG037
E00199,2021-02-26,,Active,L2,Software Engineering,North America,E03406,ORG015
E00200,2025-12-04,,Active,L4,Software Engineering,Europe,E00246,ORG025
E00201,2018-10-05,,Active,L3,Sales,Europe,E04070,ORG011
E00202,2018-02-07,,Active,L3,Sales,Asia Pacific,E00172,ORG019
E00203,2021-07-21,,Active,L5,Program Management,North America,E00112,ORG047
E00204,2025-05-21,,Active,L5,Data,Europe,E02613,ORG034
E00205,2022-03-30,,Active,L4,Operations,Latin America,E04005,ORG041
E00206,2020-02-26,,Active,L6,Product,Latin America,E03840,ORG027
E00207,2020-12-16,,Active,L3,Finance,North America,E03044,ORG012
E00208,2020-12-14,,Active,L5,Software Engineering,Latin America,E00873,ORG035
E00209,2024-11-27,,Active,L2,Sales,North America,E04770,ORG025
E00210,2020-03-19,,Active,L5,HR,Europe,E00084,ORG009
E00211,2021-04-11,,Active,L7,Finance,North America,,ORG020
E00212,2020-12-03,,Active,L5,Operations,Europe,E01688,ORG031
E00213,2018-01-26,,Active,L4,Software Engineering,North America,E03788,ORG036
E00214,2023-04-16,,Active,L4,Marketing,North America,E03128,ORG012
E00215,2018-04-12,,Active,L3,Product,North America,E03950,ORG043
E00216,2020-07-02,,Active,L5,Program Management,Asia Pacific,E03851,ORG019
E00217,2026-10-09,,Active,L5,Marketing,Europe,E04692,ORG014
E00218,2022-05-29,,Active,L7,Data,Europe,,ORG010
E00219,2021-04-22,,Active,L4,Software Engineering,Europe,E02611,ORG039
E00220,2021-01-13,,Active,L2,HR,North America,E04095,ORG018
E00221,2024-11-30,,Active,L4,Program Management,North America,E00759,ORG024
E00222,2023-06-20,,Active,L2,Finance,North America,E00850,ORG011
E00223,2025-04-22,,Active,L3,Finance,North America,E00211,ORG034
E00224,2022-03-07,,Active,L3,Sales,Latin America,E00975,ORG038
E00225,2021-08-14,,Active,L5,Finance,North America,E00527,ORG017
E00226,2024-06-18,2026-09-05,Terminated,L3,Program Management,Europe,E04105,ORG046
E00227,2021-10-14,,Active,L3,Operations,Asia Pacific,E02482,ORG002
E00228,2024-10-19,,Active,L2,HR,Asia Pacific,E02200,ORG007
E00229,2023-03-29,,Active,L6,Program Management,North America,E03204,ORG029
E00230,2024-07-19,,Active,L5,Software Engineering,Latin America,E01745,ORG034
E00231,2023-07-02,,Active,L2,Operations,Europe,E02881,ORG013
E00232,2022-04-21,,Active,L2,Marketing,Europe,E00019,ORG027
E00233,2018-12-16,,Active,L4,Software Engineering,Asia Pacific,E03587,ORG016
E00234,2025-01-26,2026-09-23,Terminated,L3,Software Engineering,North America,E04365,ORG027
E00235,2023-08-27,,Active,L4,Marketing,Asia Pacific,E00172,ORG032
E00236,2022-04-23,,Active,L4,Sales,Europe,E00377,ORG048
E00237,2024-11-27,,Active,L6,Software Engineering,Asia Pacific,E00643,ORG023
E00238,2024-07-20,,Active,L3,Software Engineering,Asia Pacific,E03087,ORG032
E00239,2024-07-12,,Active,L5,HR,Europe,E03817,ORG028
E00240,2026-03-26,,Active,L2,Sales,North America,E04101,ORG016
E00241,2022-03-16,,Active,L6,HR,North America,E03903,ORG013
E00242,2018-11-27,,Active,L7,Sales,Asia Pacific,,ORG048
E00243,2024-11-10,,Active,L5,Operations,Europe,E02912,ORG011
E00244,2024-08-11,,Active,L4,Sales,Asia Pacific,E03520,ORG039
E00245,2024-02-13,,Active,L3,Finance,North America,E01325,ORG008
E00246,2019-02-23,,Active,L5,Operations,Europe,E03752,ORG039
E00247,2019-08-25,,Active,L5,Finance,Asia Pacific,E00887,ORG009
E00248,2024-01-16,,Active,L3,Program Management,Asia Pacific,E04817,ORG047
E00249,2019-04-04,,Active,L4,Finance,North America,E00179,ORG034
E00250,2026-10-03,,Active,L4,Sales,North America,E04710,ORG005
E00251,2026-08-02,,Active,L5,Marketing,Asia Pacific,E02282,ORG034
E00252,2023-02-18,,Active,L5,Finance,Asia Pacific,E03223,ORG030
E00253,2024-03-18,,Active,L4,Data,North America,E00784,ORG017
E00254,2020-03-24,,Active,L4,Finance,Europe,E01547,ORG013
E00255,2019-05-07,,Active,L3,Product,North America,E04330,ORG035
E00256,2022-04-21,,Active,L3,Product,North America,E00064,ORG036
E00257,2020-12-24,,Leave,L2,Sales,North America,E00917,ORG016
E00258,2019-10-15,,Active,L5,Operations,North America,E03171,ORG043
E00259,2024-07-13,,Active,L4,Sales,Asia Pacific,E04012,ORG014
E00260,2022-02-17,,Active,L4,Program Management,North America,E02107,ORG004
E00261,2020-11-08,,Active,L3,Finance,Asia Pacific,E00418,ORG030
E00262,2023-09-25,,Active,L3,Finance,North America,E00713,ORG006
E00263,2024-01-10,,Active,L4,Marketing,North America,E04455,ORG014
E00264,2025-09-29,,Active,L3,Software Engineering,North America,E01013,ORG025
E00265,2023-08-05,,Active,L2,Finance,North America,E02922,ORG014
E00266,2020-12-22,,Active,L5,Program Management,Europe,E04678,ORG011
E00267,2023-06-18,,Active,L3,Operations,Asia Pacific,E01819,ORG035
E00268,2018-06-18,,Active,L3,Sales,Asia Pacific,E00312,ORG027
E00269,2024-04-05,2024-10-03,Terminated,L4,Software Engineering,Asia Pacific,E04059,ORG041
E00270,2023-05-08,,Active,L5,Operations,Asia Pacific,E03931,ORG029
E00271,2020-03-11,,Active,L3,Program Management,Asia Pacific,E03247,ORG024
E00272,2022-11-27,,Active,L5,Marketing,Europe,E04504,ORG013
E00273,2026-06-09,,Active,L6,Software Engineering,Europe,E03885,ORG039
E00274,2024-10-08,,Active,L5,Product,North America,E03437,ORG010
E00275,2021-11-18,,Active,L4,Data,North America,E01623,ORG012
E00276,2020-01-10,,Active,L5,Program Management,Europe,E00270,ORG041
E00277,2020-11-24,,Active,L4,Data,Asia Pacific,E03665,ORG036
E00278,2021-02-14,,Active,L4,Operations,North America,E04237,ORG030
E00279,2023-08-28,,Active,L4,Product,Latin America,E03461,ORG002
E00280,2024-07-06,,Active,L3,Program Management,North America,E03263,ORG007
E00281,2026-02-11,,Active,L2,Finance,Asia Pacific,E03614,ORG025
E00282,2025-06-14,,Active,L4,HR,Latin America,E01312,ORG037
E00283,2024-06-05,,Active,L2,Data,North America,E00556,ORG023
E00284,2022-02-17,,Active,L4,Software Engineering,Asia Pacific,E03166,ORG001
E00285,2024-01-22,,Active,L4,Product,Asia Pacific,E04704,ORG009
E00286,2023-02-28,,Active,L6,Operations,Asia Pacific,E00643,ORG029
E00287,2021-08-08,,Active,L2,Sales,Latin America,E00335,ORG034
E00288,2022-08-13,,Active,L4,Software Engineering,Europe,E03554,ORG002
E00289,2024-03-31,,Active,L4,Data,North America,E02069,ORG003
E00290,2019-02-27,,Active,L2,Finance,Europe,E04510,ORG013
E00291,2024-02-15,,Active,L3,Marketing,North America,E02336,ORG005
E00292,2019-11-29,,Active,L2,Sales,North America,E02649,ORG027
E00293,2022-07-10,,Active,L3,Finance,North America,E00270,ORG006
E00294,2021-09-26,,Active,L3,Data,North America,E04757,ORG032
E00295,2020-02-05,,Active,L4,Finance,Asia Pacific,E01611,ORG038
E00296,2021-06-01,,Active,L4,Operations,Latin America,E02153,ORG047
E00297,2022-04-10,,Active,L2,Operations,Latin America,E03165,ORG046
E00298,2018-08-26,,Active,L3,Operations,North America,E04314,ORG014
E00299,2025-11-14,,Active,L2,Finance,Europe,E03974,ORG002
E00300,2022-07-19,,Active,L4,HR,Europe,E03879,ORG016
E00301,2019-09-03,,Active,L3,Software Engineering,North America,E00507,ORG035
E00302,2018-10-23,,Active,L4,Data,Europe,E00423,ORG003
E00303,2023-03-31,,Active,L3,Data,North America,E04151,ORG018
E00304,2020-11-14,,Active,L2,Program Management,Latin America,E04560,ORG015
E00305,2018-04-27,,Active,L6,Operations,North America,E03150,ORG011
E00306,2025-02-20,,Active,L2,Sales,Asia Pacific,E04549,ORG035
E00307,2026-11-04,,Active,L2,Program Management,Asia Pacific,E01540,ORG032
E00308,2020-12-14,,Active,L2,Operations,Asia Pacific,E01702,ORG026
E00309,2019-02-25,,Active,L7,Marketing,North America,,ORG045
E00310,2020-05-22,,Active,L4,HR,North America,E00823,ORG005
E00311,2019-08-28,,Active,L4,HR,Latin America,E03966,ORG008
E00312,2020-12-19,,Active,L7,Program Management,North America,,ORG019
E00313,2018-12-05,,Active,L2,Software Engineering,North America,E03345,ORG032
E00314,2026-07-12,,Active,L7,Marketing,Latin America,,ORG029
E00315,2020-08-26,,Active,L3,Operations,Asia Pacific,E01060,ORG004
E00316,2021-09-04,,Active,L4,Data,Asia Pacific,E04994,ORG047
E00317,2020-01-27,,Active,L4,Operations,North America,E00124,ORG015
E00318,2022-08-16,,Active,L3,Data,North America,E03866,ORG018
E00319,2026-05-04,,Active,L6,Marketing,Asia Pacific,E00986,ORG031
E00320,2021-10-09,,Active,L2,Operations,North America,E03918,ORG046
E00321,2026-10-26,,Active,L7,Sales,North America,,ORG033
E00322,2023-04-18,,Active,L3,Operations,North America,E02409,ORG047
E00323,2024-08-14,,Active,L4,Data,Europe,E01128,ORG010
E00324,2018-05-29,,Active,L7,Finance,North America,,ORG030
E00325,2020-01-06,,Active,L2,Finance,Asia Pacific,E00246,ORG041
E00326,2024-12-19,,Active,L6,Product,North America,E03142,ORG025
E00327,2021-06-15,,Active,L4,HR,North America,E00788,ORG018
E00328,2020-11-29,,Active,L5,Product,Latin America,E02223,ORG048
E00329,2020-06-08,,Active,L2,HR,Latin America,E04749,ORG007
E00330,2025-06-21,,Active,L4,HR,Europe,E04433,ORG020
E00331,2021-10-30,,Active,L5,Software Engineering,Latin America,E02467,ORG043
E00332,2022-08-24,,Active,L4,Product,North America,E03696,ORG044
E00333,2023-08-15,,Active,L2,Software Engineering,North America,E04104,ORG048
E00334,2020-08-10,,Active,L3,HR,North America,E03083,ORG043
E00335,2020-10-03,,Active,L5,Product,North America,E00983,ORG003
E00336,2024-06-10,,Active,L2,Finance,Asia Pacific,E04055,ORG046
E00337,2022-05-30,,Active,L5,Program Management,Asia Pacific,E00423,ORG021
E00338,2022-03-25,,Active,L7,Data,North America,,ORG032
E00339,2022-07-05,,Active,L2,Sales,North America,E02667,ORG020
E00340,2023-03-05,,Active,L3,HR,Latin America,E03902,ORG040
E00341,2025-06-28,,Active,L5,Product,Europe,E02881,ORG028
E00342,2021-06-02,2025-08-26,Terminated,L2,Sales,North America,E01690,ORG041
E00343,2021-10-14,,Active,L4,HR,North America,E02024,ORG010
E00344,2021-10-09,,Active,L5,Sales,North America,E02279,ORG009
E00345,2022-06-30,,Active,L4,Software Engineering,North America,E03744,ORG022
E00346,2018-05-21,,Active,L3,Data,North America,E04969,ORG001
E00347,2026-09-05,,Active,L5,Data,Europe,E03898,ORG034
E00348,2023-05-06,,Active,L4,Operations,North America,E01538,ORG015
E00349,2018-12-10,,Active,L3,Sales,Europe,E00527,ORG027
E00350,2019-01-03,,Active,L4,Marketing,North America,E02346,ORG004
E00351,2024-12-17,,Active,L6,Marketing,North America,E04317,ORG009
E00352,2023-06-24,,Leave,L5,Finance,North America,E03188,ORG031
E00353,2018-09-21,,Active,L4,Finance,Asia Pacific,E01557,ORG015
E00354,2020-02-03,,Active,L3,Product,Asia Pacific,E00427,ORG011
E00355,2026-07-21,,Active,L2,Data,North America,E01189,ORG012
E00356,2019-12-20,,Active,L3,Software Engineering,North America,E03601,ORG011
E00357,2019-09-23,,Active,L2,Data,Europe,E03346,ORG031
E00358,2019-12-15,,Active,L7,HR,North America,,ORG009
E00359,2018-10-07,,Active,L3,Operations,Europe,E02238,ORG018
E00360,2020-04-24,,Active,L5,HR,Latin America,E01628,ORG034
E00361,2020-05-04,,Active,L3,Software Engineering,North America,E00862,ORG025
E00362,2020-11-10,,Active,L3,Marketing,Europe,E04872,ORG029
E00363,2022-03-23,,Active,L4,HR,Europe,E02106,ORG013
E00364,2023-04-02,,Active,L3,Marketing,Europe,E03856,ORG046
E00365,2022-06-10,,Active,L5,Finance,North America,E02282,ORG021
E00366,2019-03-11,,Active,L6,Program Management,Europe,E02872,ORG014
E00367,2019-08-03,,Active,L6,Finance,North America,E03206,ORG044
E00368,2022-03-22,,Active,L2,Finance,Asia Pacific,E01729,ORG032
E00369,2021-01-24,,Active,L5,Software Engineering,Europe,E04679,ORG030
E00370,2025-05-21,,Active,L2,Data,North America,E02267,ORG043
E00371,2020-05-09,,Active,L6,Finance,Latin America,E03840,ORG003
E00372,2022-02-14,,Active,L4,Data,Asia Pacific,E04570,ORG041
E00373,2022-05-09,,Active,L3,Data,Europe,E01869,ORG033
E00374,2024-02-15,,Active,L2,Data,Latin America,E01128,ORG018
E00375,2023-04-07,,Active,L2,Finance,Asia Pacific,E04850,ORG013
E00376,2021-05-09,2025-09-11,Terminated,L3,Marketing,North America,E03924,ORG006
E00377,2021-07-15,,Active,L6,Operations,Europe,E03957,ORG046
E00378,2022-08-13,,Active,L5,Software Engineering,Europe,E04716,ORG007
E00379,2018-04-25,,Active,L7,Operations,Europe,,ORG013
E00380,2025-07-22,,Active,L2,Operations,Latin America,E00117,ORG034
E00381,2024-10-15,,Active,L4,Finance,North America,E04713,ORG035
E00382,2025-11-15,,Active,L3,Program Management,North America,E00556,ORG008
E00383,2024-05-23,,Active,L4,Operations,North America,E00693,ORG040
E00384,2021-09-18,,Active,L3,Product,Asia Pacific,E01031,ORG025
E00385,2019-12-25,,Active,L3,Marketing,North America,E00547,ORG042
E00386,2022-08-24,,Active,L4,Operations,North America,E00395,ORG005
