review_id,employee_id,review_cycle,review_date,performance_rating,potential_rating,promotion_recommended,review_status
R000044,E01675,2024_H1,2024-06-15,4,3,False,Pending
R000045,E04995,2024_H1,2024-06-15,3,5,False,Completed
R000046,E00008,2024_H1,2024-06-15,4,5,False,Completed
R000047,E03983,2024_H1,2024-06-15,3,1,False,Pending
R000048,E00649,2024_H1,2024-06-15,3,2,False,Completed
R000049,E03097,2024_H1,2024-06-15,3,3,False,Completed
R000050,E03719,2024_H1,2024-06-15,4,5,False,Completed
R000051,E00882,2024_H1,2024-06-15,3,3,False,Completed
R000052,E02831,2024_H1,2024-06-15,4,3,False,Completed
R000053,E02087,2024_H1,2024-06-15,2,2,False,Completed
R000054,E01478,2024_H1,2024-06-15,2,2,False,Completed
R000055,E02306,2024_H1,2024-06-15,3,4,False,Completed
R000056,E04951,2024_H1,2024-06-15,3,3,False,Completed
R000057,E03282,2024_H1,2024-06-15,3,4,False,Completed
R000058,E03550,2024_H1,2024-06-15,3,3,False,Pending
R000059,E03701,2024_H1,2024-06-15,4,4,False,Completed
R000060,E02631,2024_H1,2024-06-15,2,3,False,Pending
R000061,E01811,2024_H1,2024-06-15,4,4,False,Completed
R000062,E00523,2024_H1,2024-06-15,3,3,False,Completed
R000063,E02405,2024_H1,2024-06-15,3,2,False,Completed
R000064,E00963,2024_H1,2024-06-15,3,3,False,Completed
R000065,E00335,2024_H1,2024-06-15,2,3,False,Completed
R000066,E00929,2024_H1,2024-06-15,3,3,False,Completed
R000067,E01815,2024_H1,2024-06-15,4,4,False,Completed
R000068,E03197,2024_H1,2024-06-15,3,2,False,Completed
R000069,E03303,2024_H1,2024-06-15,3,3,False,Pending
R000070,E04339,2024_H1,2024-06-15,2,3,False,Completed
R000071,E04906,2024_H1,2024-06-15,5,1,False,Completed
R000072,E04318,2024_H1,2024-06-15,4,3,False,Completed
R000073,E00465,2024_H1,2024-06-15,4,5,False,Completed
R000074,E02078,2024_H1,2024-06-15,4,4,False,Completed
R000075,E01802,2024_H1,2024-06-15,1,5,False,Completed
R000076,E00365,2024_H1,2024-06-15,3,3,False,Completed
R000077,E01414,2024_H1,2024-06-15,4,3,False,Pending
R000078,E04966,2024_H1,2024-06-15,3,4,False,Completed
R000079,E03315,2024_H1,2024-06-15,4,3,False,Completed
R000080,E03759,2024_H1,2024-06-15,2,1,False,Completed
R000081,E01394,2024_H1,2024-06-15,1,2,False,Completed
R000082,E00165,2024_H1,2024-06-15,2,3,False,Completed
R000083,E00483,2024_H1,2024-06-15,3,5,False,Completed
R000084,E02518,2024_H1,2024-06-15,3,4,False,Completed
R000085,E04811,2024_H1,2024-06-15,4,3,False,Pending
R000086,E04507,2024_H1,2024-06-15,1,3,False,Pending
R000087,E00670,2024_H1,2024-06-15,2,4,False,Completed
R000088,E02920,2024_H1,2024-06-15,3,4,False,Completed
R000089,E00729,2024_H1,2024-06-15,2,3,False,Completed
R000090,E01350,2024_H1,2024-06-15,4,3,False,Completed
R000091,E02503,2024_H1,2024-06-15,3,2,False,Completed
R000092,E03317,2024_H1,2024-06-15,2,4,False,Completed
R000093,E04818,2024_H1,2024-06-15,4,3,False,Completed
R000094,E02727,2024_H1,2024-06-15,3,3,False,Completed
R000095,E04419,2024_H1,2024-06-15,3,3,False,Completed
R000096,E03691,2024_H1,2024-06-15,3,4,False,Completed
R000097,E00325,2024_H1,2024-06-15,5,2,False,Completed
R000098,E02613,2024_H1,2024-06-15,3,3,False,Completed
R000099,E00977,2024_H1,2024-06-15,1,3,False,Completed
R000100,E01938,2024_H1,2024-06-15,4,3,False,Completed
R000101,E01284,2024_H1,2024-06-15,2,3,False,Completed
R000102,E03925,2024_H1,2024-06-15,3,3,False,Completed
R000103,E01857,2024_H1,2024-06-15,4,3,False,Completed
R000104,E00417,2024_H1,2024-06-15,3,3,False,Completed
R000105,E03780,2024_H1,2024-06-15,4,1,True,Completed
R000106,E02535,2024_H1,2024-06-15,3,3,False,Completed
R000107,E01756,2024_H1,2024-06-15,5,1,False,Completed
R000108,E03970,2024_H1,2024-06-15,5,3,False,Completed
R000109,E01630,2024_H1,2024-06-15,5,5,False,Completed
R000110,E03437,2024_H1,2024-06-15,3,3,False,Completed
R000111,E02488,2024_H1,2024-06-15,4,3,True,Completed
R000112,E02170,2024_H1,2024-06-15,4,4,True,Cancelled
R000113,E03570,2024_H1,2024-06-15,2,3,False,Completed
R000114,E02465,2024_H1,2024-06-15,3,2,False,Completed
R000115,E01807,2024_H1,2024-06-15,3,4,False,Completed
R000116,E02299,2024_H1,2024-06-15,3,5,False,Completed
R000117,E01017,2024_H1,2024-06-15,2,4,True,Completed
R000118,E03632,2024_H1,2024-06-15,4,5,False,Completed
R000119,E01917,2024_H1,2024-06-15,2,3,False,Completed
R000120,E02659,2024_H1,2024-06-15,4,3,False,Completed
R000121,E02855,2024_H1,2024-06-15,3,4,False,Completed
R000122,E02612,2024_H1,2024-06-15,5,3,False,Completed
R000123,E00261,2024_H1,2024-06-15,5,3,False,Completed
R000124,E01706,2024_H1,2024-06-15,4,5,False,Completed
R000125,E01292,2024_H1,2024-06-15,2,3,False,Completed
R000126,E03740,2024_H1,2024-06-15,4,2,False,Completed
R000127,E00503,2024_H1,2024-06-15,4,2,False,Completed
R000128,E00107,2024_H1,2024-06-15,4,2,False,Pending
R000129,E00093,2024_H1,2024-06-15,5,2,False,Completed
R000130,E03981,2024_H1,2024-06-15,2,2,False,Completed
R000131,E04460,2024_H1,2024-06-15,4,3,False,Completed
R000132,E04243,2024_H1,2024-06-15,4,4,False,Completed
R000133,E04958,2024_H1,2024-06-15,1,3,False,Completed
R000134,E03554,2024_H1,2024-06-15,4,3,False,Completed
R000135,E01515,2024_H1,2024-06-15,1,4,False,Completed
R000136,E01317,2024_H1,2024-06-15,2,3,False,Pending
R000137,E04847,2024_H1,2024-06-15,2,3,False,Completed
R000138,E04148,2024_H1,2024-06-15,5,3,True,Completed
R000139,E03013,2024_H1,2024-06-15,4,3,False,Completed
R000140,E02308,2024_H1,2024-06-15,3,3,False,Completed
R000141,E04043,2024_H1,2024-06-15,3,1,False,Completed
R000142,E02489,2024_H1,2024-06-15,5,4,False,Completed
R000143,E02772,2024_H1,2024-06-15,2,5,False,Completed
R000144,E01889,2024_H1,2024-06-15,3,4,True,Completed
R000145,E04264,2024_H1,2024-06-15,4,3,False,Completed
R000146,E00628,2024_H1,2024-06-15,2,3,False,Completed
R000147,E00620,2024_H1,2024-06-15,3,3,False,Completed
R000148,E03958,2024_H1,2024-06-15,1,1,False,Completed
R000149,E04202,2024_H1,2024-06-15,3,2,False,Completed
R000150,E00098,2024_H1,2024-06-15,4,4,False,Completed
R000151,E00023,2024_H1,2024-06-15,4,3,False,Completed
R000152,E04620,2024_H1,2024-06-15,4,3,False,Completed
R000153,E00379,2024_H1,2024-06-15,4,3,False,Completed
R000154,E02512,2024_H1,2024-06-15,2,3,False,Completed
R000155,E04201,2024_H1,2024-06-15,3,4,False,Pending
R000156,E03932,2024_H1,2024-06-15,2,5,False,Completed
R000157,E03307,2024_H1,2024-06-15,3,4,False,Completed
R000158,E03525,2024_H1,2024-06-15,4,5,False,Completed
R000159,E01988,2024_H1,2024-06-15,3,2,False,Completed
R000160,E03022,2024_H1,2024-06-15,4,2,False,Completed
R000161,E01944,2024_H1,2024-06-15,3,2,False,Pending
R000162,E01636,2024_H1,2024-06-15,3,5,False,Completed
R000163,E00410,2024_H1,2024-06-15,3,4,False,Completed
R000164,E01818,2024_H1,2024-06-15,5,2,False,Completed
R000165,E00821,2024_H1,2024-06-15,3,4,False,Completed
R000166,E01031,2024_H1,2024-06-15,1,3,False,Completed
R000167,E02412,2024_H1,2024-06-15,3,2,False,Completed
R000168,E02234,2024_H1,2024-06-15,4,3,False,Completed
R000169,E00889,2024_H1,2024-06-15,2,1,False,Completed
R000170,E02655,2024_H1,2024-06-15,3,4,False,Completed
R000171,E02196,2024_H1,2024-06-15,3,5,False,Completed
R000172,E04406,2024_H1,2024-06-15,5,2,False,Completed
R000173,E00830,2024_H1,2024-06-15,4,3,False,Completed
R000174,E04555,2024_H1,2024-06-15,3,4,False,Completed
R000175,E01088,2024_H1,2024-06-15,3,2,False,Completed
R000176,E04578,2024_H1,2024-06-15,4,4,True,Completed
R000177,E01821,2024_H1,2024-06-15,4,4,False,Completed
R000178,E02333,2024_H1,2024-06-15,3,3,False,Completed
R000179,E04828,2024_H1,2024-06-15,2,3,False,Completed
R000180,E02126,2024_H1,2024-06-15,5,4,False,Completed
R000181,E02311,2024_H1,2024-06-15,3,1,False,Pending
R000182,E00880,2024_H1,2024-06-15,2,3,False,Completed
R000183,E02839,2024_H1,2024-06-15,3,3,False,Pending
R000184,E03169,2024_H1,2024-06-15,3,5,False,Completed
R000185,E01861,2024_H1,2024-06-15,2,5,False,Completed
R000186,E03994,2024_H1,2024-06-15,4,3,False,Completed
R000187,E00189,2024_H1,2024-06-15,2,4,False,Completed
R000188,E00760,2024_H1,2024-06-15,4,3,False,Completed
R000189,E03946,2024_H1,2024-06-15,4,3,True,Completed
R000190,E01268,2024_H1,2024-06-15,4,4,True,Completed
R000191,E02351,2024_H1,2024-06-15,1,3,False,Completed
R000192,E04539,2024_H1,2024-06-15,3,3,False,Completed
R000193,E01982,2024_H1,2024-06-15,3,2,False,Pending
R000194,E01034,2024_H1,2024-06-15,4,3,False,Completed
R000195,E00980,2024_H1,2024-06-15,3,4,False,Completed
R000196,E02213,2024_H1,2024-06-15,3,3,False,Completed
R000197,E04969,2024_H1,2024-06-15,4,3,False,Completed
R000198,E04702,2024_H1,2024-06-15,3,4,False,Completed
R000199,E03126,2024_H1,2024-06-15,3,3,False,Completed
R000200,E00395,2024_H1,2024-06-15,3,2,False,Pending
R000201,E03419,2024_H1,2024-06-15,3,3,False,Pending
R000202,E00556,2024_H1,2024-06-15,3,5,False,Completed
R000203,E00787,2024_H1,2024-06-15,3,3,False,Completed
R000204,E04067,2024_H1,2024-06-15,5,3,False,Pending
R000205,E00115,2024_H1,2024-06-15,3,4,False,Completed
R000206,E03751,2024_H1,2024-06-15,3,3,False,Completed
R000207,E04770,2024_H1,2024-06-15,4,2,True,Pending
R000208,E01507,2024_H1,2024-06-15,4,3,False,Completed
R000209,E03659,2024_H1,2024-06-15,4,3,False,Pending
R000210,E00591,2024_H1,2024-06-15,3,3,False,Completed
R000211,E02031,2024_H1,2024-06-15,3,3,False,Completed
R000212,E03700,2024_H1,2024-06-15,5,1,False,Pending
R000213,E02592,2024_H1,2024-06-15,3,2,False,Pending
R000214,E04495,2024_H1,2024-06-15,3,4,True,Completed
R000215,E01487,2024_H1,2024-06-15,3,2,False,Completed
R000216,E02725,2024_H1,2024-06-15,3,4,True,Completed
R000217,E02241,2024_H1,2024-06-15,4,3,False,Completed
R000218,E03160,2024_H1,2024-06-15,4,3,False,Completed
R000219,E04343,2024_H1,2024-06-15,2,3,False,Completed
R000220,E00677,2024_H1,2024-06-15,3,3,False,Completed
R000221,E04244,2024_H1,2024-06-15,2,3,False,Completed
R000222,E00305,2024_H1,2024-06-15,1,3,False,Completed
R000223,E04402,2024_H1,2024-06-15,3,2,False,Completed
R000224,E02490,2024_H1,2024-06-15,3,3,False,Completed
R000225,E04166,2024_H1,2024-06-15,1,2,False,Completed
R000226,E02075,2024_H1,2024-06-15,5,3,False,Completed
R000227,E03301,2024_H1,2024-06-15,4,3,False,Completed
R000228,E01103,2024_H1,2024-06-15,4,2,False,Completed
R000229,E03389,2024_H1,2024-06-15,3,4,False,Completed
R000230,E00399,2024_H1,2024-06-15,2,2,False,Completed
R000231,E03776,2024_H1,2024-06-15,5,5,False,Completed
R000232,E01809,2024_H1,2024-06-15,3,3,True,Completed
R000233,E00775,2024_H1,2024-06-15,3,4,False,Completed
R000234,E01742,2024_H1,2024-06-15,2,3,False,Completed
R000235,E00110,2024_H1,2024-06-15,4,3,False,Completed
R000236,E02342,2024_H1,2024-06-15,3,3,False,Completed
R000237,E01413,2024_H1,2024-06-15,3,2,False,Completed
R000238,E02982,2024_H1,2024-06-15,5,2,False,Cancelled
R000239,E00761,2024_H1,2024-06-15,2,2,False,Completed
R000240,E00078,2024_H1,2024-06-15,3,3,False,Completed
R000241,E04660,2024_H1,2024-06-15,3,3,False,Pending
R000242,E03432,2024_H1,2024-06-15,3,3,False,Pending
R000243,E02103,2024_H1,2024-06-15,5,4,True,Completed
R000244,E02176,2024_H1,2024-06-15,3,4,False,Pending
R000245,E00094,2024_H1,2024-06-15,5,3,True,Completed
R000246,E04233,2024_H1,2024-06-15,5,3,False,Completed
R000247,E00588,2024_H1,2024-06-15,1,5,True,Completed
R000248,E02873,2024_H1,2024-06-15,3,3,False,Completed
R000249,E01011,2024_H1,2024-06-15,3,3,False,Completed
R000250,E00001,2024_H1,2024-06-15,3,5,False,Pending
R000251,E01177,2024_H1,2024-06-15,4,3,False,Completed
R000252,E01075,2024_H1,2024-06-15,3,3,False,Completed
R000253,E02197,2024_H1,2024-06-15,3,4,False,Completed
R000254,E03559,2024_H1,2024-06-15,4,3,True,Completed
R000255,E00149,2024_H1,2024-06-15,3,3,False,Completed
R000256,E02117,2024_H1,2024-06-15,3,3,True,Completed
R000257,E00840,2024_H1,2024-06-15,4,3,False,Completed
R000258,E04718,2024_H1,2024-06-15,4,3,False,Completed
R000259,E00981,2024_H1,2024-06-15,2,1,False,Completed
R000260,E00619,2024_H1,2024-06-15,2,1,False,Completed
R000261,E04211,2024_H1,2024-06-15,2,3,False,Completed
R000262,E01440,2024_H1,2024-06-15,3,3,False,Completed
R000263,E04322,2024_H1,2024-06-15,2,4,False,Completed
R000264,E03225,2024_H1,2024-06-15,3,2,False,Pending
R000265,E01332,2024_H1,2024-06-15,3,1,False,Completed
R000266,E00024,2024_H1,2024-06-15,2,2,False,Completed
R000267,E00349,2024_H1,2024-06-15,4,3,False,Completed
R000268,E01192,2024_H1,2024-06-15,1,4,False,Completed
R000269,E01575,2024_H1,2024-06-15,3,3,False,Cancelled
R000270,E04205,2024_H1,2024-06-15,4,4,False,Completed
R000271,E04885,2024_H1,2024-06-15,3,4,False,Pending
R000272,E04823,2024_H1,2024-06-15,3,4,False,Completed
R000273,E03393,2024_H1,2024-06-15,3,3,False,Cancelled
R000274,E00894,2024_H1,2024-06-15,3,3,False,Completed
R000275,E02149,2024_H1,2024-06-15,1,4,False,Completed
R000276,E02436,2024_H1,2024-06-15,4,2,False,Completed
R000277,E02786,2024_H1,2024-06-15,3,4,False,Pending
R000278,E03267,2024_H1,2024-06-15,2,4,False,Completed
R000279,E03250,2024_H1,2024-06-15,3,3,False,Pending
R000280,E03515,2024_H1,2024-06-15,4,3,False,Completed
R000281,E02771,2024_H1,2024-06-15,2,3,False,Pending
R000282,E02998,2024_H1,2024-06-15,3,2,False,Completed
R000283,E02551,2024_H1,2024-06-15,3,3,False,Completed
R000284,E03770,2024_H1,2024-06-15,3,3,False,Completed
R000285,E04900,2024_H1,2024-06-15,2,3,False,Completed
R000286,E02395,2024_H1,2024-06-15,3,3,False,Completed
R000287,E00565,2024_H1,2024-06-15,4,4,False,Completed
R000288,E00644,2024_H1,2024-06-15,5,4,False,Completed
R000289,E00789,2024_H1,2024-06-15,2,2,False,Completed
R000290,E03178,2024_H1,2024-06-15,3,3,False,Completed
R000291,E02179,2024_H1,2024-06-15,5,3,False,Completed
R000292,E01027,2024_H1,2024-06-15,2,4,False,Pending
R000293,E03637,2024_H1,2024-06-15,4,3,False,Cancelled
R000294,E04914,2024_H1,2024-06-15,1,4,False,Completed
R000295,E02664,2024_H1,2024-06-15,2,3,False,Completed
R000296,E04630,2024_H1,2024-06-15,2,2,False,Completed
R000297,E01965,2024_H1,2024-06-15,3,5,False,Completed
R000298,E01556,2024_H1,2024-06-15,3,3,False,Completed
R000299,E04335,2024_H1,2024-06-15,3,1,False,Completed
R000300,E03825,2024_H1,2024-06-15,4,1,False,Completed
R000301,E02706,2024_H1,2024-06-15,2,4,False,Completed
R000302,E04633,2024_H1,2024-06-15,4,2,False,Pending
R000303,E00817,2024_H1,2024-06-15,4,4,True,Completed
R000304,E00318,2024_H1,2024-06-15,3,4,False,Completed
R000305,E03115,2024_H1,2024-06-15,4,3,False,Completed
R000306,E03855,2024_H1,2024-06-15,4,3,False,Pending
R000307,E02017,2024_H1,2024-06-15,1,3,False,Completed
R000308,E04000,2024_H1,2024-06-15,2,3,False,Completed
R000309,E04572,2024_H1,2024-06-15,5,5,False,Completed
R000310,E03928,2024_H1,2024-06-15,4,3,True,Pending
R000311,E03476,2024_H1,2024-06-15,4,4,False,Completed
R000312,E01210,2024_H1,2024-06-15,3,2,False,Completed
R000313,E00518,2024_H1,2024-06-15,3,4,False,Completed
R000314,E04273,2024_H1,2024-06-15,4,1,False,Cancelled
R000315,E02305,2024_H1,2024-06-15,3,1,False,Completed
R000316,E03000,2024_H1,2024-06-15,2,4,False,Completed
R000317,E02039,2024_H1,2024-06-15,3,3,False,Pending
R000318,E04613,2024_H1,2024-06-15,5,3,False,Completed
R000319,E02244,2024_H1,2024-06-15,5,3,False,Completed
R000320,E04839,2024_H1,2024-06-15,4,3,False,Completed
R000321,E01539,2024_H1,2024-06-15,4,2,False,Completed
R000322,E04925,2024_H1,2024-06-15,5,1,False,Completed
R000323,E02274,2024_H1,2024-06-15,3,3,False,Pending
R000324,E03579,2024_H1,2024-06-15,4,4,True,Completed
R000325,E04346,2024_H1,2024-06-15,2,4,False,Completed
R000326,E01297,2024_H1,2024-06-15,4,1,True,Completed
R000327,E04883,2024_H1,2024-06-15,4,3,False,Completed
R000328,E04123,2024_H1,2024-06-15,3,3,False,Completed
R000329,E03278,2024_H1,2024-06-15,2,4,False,Completed
R000330,E03926,2024_H1,2024-06-15,4,4,False,Completed
R000331,E04516,2024_H1,2024-06-15,3,5,False,Completed
R000332,E02064,2024_H1,2024-06-15,5,2,False,Pending
R000333,E00765,2024_H1,2024-06-15,3,3,False,Completed
R000334,E01860,2024_H1,2024-06-15,3,3,False,Completed
R000335,E04486,2024_H1,2024-06-15,4,4,False,Completed
R000336,E01203,2024_H1,2024-06-15,2,4,True,Completed
R000337,E01959,2024_H1,2024-06-15,4,3,False,Completed
R000338,E04087,2024_H1,2024-06-15,1,3,False,Completed
R000339,E04228,2024_H1,2024-06-15,5,3,True,Cancelled
R000340,E03187,2024_H1,2024-06-15,4,1,False,Completed
R000341,E04093,2024_H1,2024-06-15,2,4,False,Pending
R000342,E02370,2024_H1,2024-06-15,4,5,False,Completed
R000343,E02742,2024_H1,2024-06-15,3,4,False,Pending
R000344,E01383,2024_H1,2024-06-15,3,3,False,Completed
R000345,E03450,2024_H1,2024-06-15,4,2,False,Completed
R000346,E04700,2024_H1,2024-06-15,2,3,False,Cancelled
R000347,E03806,2024_H1,2024-06-15,4,4,False,Completed
R000348,E02455,2024_H1,2024-06-15,3,3,False,Completed
R000349,E04436,2024_H1,2024-06-15,3,3,False,Pending
R000350,E02996,2024_H1,2024-06-15,4,4,False,Completed
R000351,E01434,2024_H1,2024-06-15,4,2,False,Pending
R000352,E03362,2024_H1,2024-06-15,2,3,False,Completed
R000353,E02884,2024_H1,2024-06-15,3,3,False,Completed
R000354,E02951,2024_H1,2024-06-15,3,3,False,Pending
R000355,E04435,2024_H1,2024-06-15,3,4,False,Completed
R000356,E02915,2024_H1,2024-06-15,3,3,False,Completed
R000357,E00992,2024_H1,2024-06-15,4,4,False,Completed
R000358,E00184,2024_H1,2024-06-15,3,2,False,Pending
R000359,E00076,2024_H1,2024-06-15,5,4,False,Pending
R000360,E04227,2024_H1,2024-06-15,4,1,False,Completed
R000361,E02707,2024_H1,2024-06-15,3,3,False,Completed
R000362,E02646,2024_H1,2024-06-15,4,2,False,Completed
R000363,E04386,2024_H1,2024-06-15,5,1,False,Completed
R000364,E03964,2024_H1,2024-06-15,3,2,False,Pending
R000365,E01064,2024_H1,2024-06-15,3,5,False,Completed
R000366,E02491,2024_H1,2024-06-15,3,3,False,Pending
R000367,E00554,2024_H1,2024-06-15,2,3,False,Completed
R000368,E00703,2024_H1,2024-06-15,4,5,False,Completed
R000369,E00524,2024_H1,2024-06-15,3,3,False,Completed
R000370,E00172,2024_H1,2024-06-15,2,4,False,Completed
R000371,E04221,2024_H1,2024-06-15,3,3,False,Completed
R000372,E03232,2024_H1,2024-06-15,3,5,False,Completed
R000373,E00667,2024_H1,2024-06-15,3,3,False,Pending
R000374,E03788,2024_H1,2024-06-15,4,3,False,Completed
R000375,E04757,2024_H1,2024-06-15,4,4,False,Pending
R000376,E02476,2024_H1,2024-06-15,2,3,False,Completed
R000377,E00752,2024_H1,2024-06-15,4,3,False,Pending
R000378,E02946,2024_H1,2024-06-15,3,4,False,Completed
R000379,E04544,2024_H1,2024-06-15,2,3,False,Completed
R000380,E03852,2024_H1,2024-06-15,3,2,False,Completed
R000381,E00111,2024_H1,2024-06-15,2,4,False,Completed
R000382,E04644,2024_H1,2024-06-15,2,5,False,Cancelled
R000383,E03972,2024_H1,2024-06-15,3,3,False,Pending
R000384,E02188,2024_H1,2024-06-15,5,3,False,Completed
R000385,E01536,2024_H1,2024-06-15,2,5,False,Completed
R000386,E00764,2024_H1,2024-06-15,3,3,False,Completed
R000387,E02924,2024_H1,2024-06-15,4,5,False,Completed
R000388,E01265,2024_H1,2024-06-15,2,3,False,Completed
R000389,E03204,2024_H1,2024-06-15,2,3,False,Cancelled
R000390,E04677,2024_H1,2024-06-15,3,3,False,Pending
R000391,E00984,2024_H1,2024-06-15,5,3,True,Completed
R000392,E02726,2024_H1,2024-06-15,5,4,False,Completed
R000393,E01110,2024_H1,2024-06-15,2,3,False,Completed
R000394,E03893,2024_H1,2024-06-15,5,1,False,Pending
R000395,E00036,2024_H1,2024-06-15,5,4,False,Completed
R000396,E02675,2024_H1,2024-06-15,3,3,False,Completed
R000397,E01245,2024_H1,2024-06-15,4,4,False,Completed
R000398,E04376,2024_H1,2024-06-15,5,2,False,Pending
R000399,E00169,2024_H1,2024-06-15,2,3,False,Completed
R000400,E03949,2024_H1,2024-06-15,1,4,False,Completed
R000401,E03693,2024_H1,2024-06-15,3,3,False,Completed
R000402,E00260,2024_H1,2024-06-15,3,4,False,Completed
R000403,E01957,2024_H1,2024-06-15,4,4,False,Completed
R000404,E00603,2024_H1,2024-06-15,4,2,False,Cancelled
R000405,E02732,2024_H1,2024-06-15,3,4,False,Completed
R000406,E04558,2024_H1,2024-06-15,3,3,False,Completed
R000407,E01116,2024_H1,2024-06-15,3,3,False,Completed
R000408,E00311,2024_H1,2024-06-15,3,4,True,Pending
R000409,E02186,2024_H1,2024-06-15,4,5,False,Completed
R000410,E02377,2024_H1,2024-06-15,4,3,False,Completed
R000411,E00931,2024_H1,2024-06-15,3,2,False,Completed
R000412,E03213,2024_H1,2024-06-15,4,4,False,Completed
R000413,E04431,2024_H1,2024-06-15,4,4,False,Completed
R000414,E04577,2024_H1,2024-06-15,3,3,False,Completed
R000415,E00320,2024_H1,2024-06-15,3,3,False,Completed
R000416,E02505,2024_H1,2024-06-15,2,4,False,Completed
R000417,E02044,2024_H1,2024-06-15,3,1,True,Completed
R000418,E01325,2024_H1,2024-06-15,3,2,False,Cancelled
R000419,E00419,2024_H1,2024-06-15,4,3,False,Completed
R000420,E02762,2024_H1,2024-06-15,3,5,False,Completed
R000421,E03558,2024_H1,2024-06-15,3,5,False,Pending
R000422,E04277,2024_H1,2024-06-15,3,2,False,Completed
R000423,E03654,2024_H1,2024-06-15,4,5,True,Completed
R000424,E02022,2024_H1,2024-06-15,3,2,False,Completed
R000425,E03834,2024_H1,2024-06-15,4,3,False,Completed
R000426,E04669,2024_H1,2024-06-15,3,5,False,Completed
R000427,E02204,2024_H1,2024-06-15,4,3,False,Completed
R000428,E00352,2024_H1,2024-06-15,3,5,False,Completed
R000429,E04011,2024_H1,2024-06-15,5,2,False,Pending
R000430,E03742,2024_H1,2024-06-15,3,3,False,Completed
R000431,E01753,2024_H1,2024-06-15,2,2,False,Pending
R000432,E04923,2024_H1,2024-06-15,4,3,False,Completed
R000433,E02744,2024_H1,2024-06-15,4,2,False,Completed
R000434,E03942,2024_H1,2024-06-15,3,4,False,Completed
R000435,E04183,2024_H1,2024-06-15,4,3,False,Completed
R000436,E02209,2024_H1,2024-06-15,4,4,False,Completed
R000437,E02160,2024_H1,2024-06-15,3,3,False,Completed
R000438,E02607,2024_H1,2024-06-15,5,4,False,Completed
R000439,E03688,2024_H1,2024-06-15,3,3,False,Completed
R000440,E03274,2024_H1,2024-06-15,3,3,False,Completed
R000441,E02116,2024_H1,2024-06-15,3,3,False,Completed
R000442,E00144,2024_H1,2024-06-15,4,4,False,Completed
R000443,E01080,2024_H1,2024-06-15,2,3,False,Completed
R000444,E01282,2024_H1,2024-06-15,1,3,False,Completed
R000445,E00646,2024_H1,2024-06-15,2,5,False,Completed
R000446,E01823,2024_H1,2024-06-15,3,3,False,Pending
R000447,E04159,2024_H1,2024-06-15,2,3,False,Completed
